id,comarca
94,Agua Branca
3,Alagoa Grande
4,Alagoa Nova
52,Alagoinha
41,Alhandra
120,Aracagi
95,Arara
6,Araruna
7,Areia
47,Aroeiras
8,Bananeiras
78,Barra de Santa Rosa
75,Bayeux
60,Belem
42,Bonito de Santa Fe
74,Boqueirao
10,Brejo do Cruz
2,Caapora
11,Cabaceiras
73,Cabedelo
83,Cacimba de Dentro
12,Caicara
13,Cajazeiras
1,Campina Grande
14,Catole do Rocha
301,Comarca Integrada de Bayeux e Santa Rita
300,Comarca Int.Pric.Isabel e Agua Branca
302,Comarcas Integradas do Litoral Sul
15,Conceicao
44,Conde
56,Coremas
29,Cruz do Espirito Santo
16,Cuite
17,Esperanca
18,Guarabira
76,Gurinhem
20,Inga
38,Itabaiana
21,Itaporanga
107,Jacarau
200,Joao Pessoa
63,Juazeirinho
121,Lucena
53,Malta
23,Mamanguape
61,Mari
24,Monteiro
25,Patos
117,Paulista
57,Pedras de Fogo
26,Pianco
27,Picui
28,Pilar
48,Piloes
51,Pirpirituba
54,Pocinhos
30,Pombal
68,Prata
31,Princesa Isabel
98,Queimadas
55,Remigio
58,Rio Tinto
32,Santa Luzia
33,Santa Rita
116,Santana dos Garrotes
88,Sao Bento
34,Sao Joao do Cariri
5,Sao Joao do Rio do Peixe
122,São José de Lagoa Tapada
22,Sao Jose de Piranhas
50,Sao Mamede
35,Sape
91,Serra Branca
36,Serraria
46,Solanea
19,Soledade
37,Sousa
45,Sume
9,Taperoa
39,Teixeira
49,Uirauna
40,Umbuzeiro
