municipio,comarca,comarca_modelo,tipo_municipio,fonte_base
Aguiar,Comarca de Piancó,Comarca de Piancó,Termo,Balcao Virtual TJPB (r.jina.ai)
Alagoa Grande,Comarca de Alagoa Grande,Comarca de Alagoa Grande,Sede,Balcao Virtual TJPB (r.jina.ai)
Alagoa Nova,Comarca de Alagoa Nova,Comarca de Alagoa Nova,Sede,Balcao Virtual TJPB (r.jina.ai)
Alagoinha,Comarca de Alagoinha,Comarca de Alagoinha,Sede,Balcao Virtual TJPB (r.jina.ai)
Alcantil,Comarca de Boqueirão,Comarca de Boqueirão,Termo,Balcao Virtual TJPB (r.jina.ai)
Algodão de Jandaíra,Comarca de Remígio,Comarca de Remígio,Termo,Balcao Virtual TJPB (r.jina.ai)
Alhandra,Comarca Integrada do Litoral Sul,Comarcas Integradas do Litoral Sul,Sede,Balcao Virtual TJPB (r.jina.ai)
Amparo,Comarca de Sumé,Comarca de Sumé,Termo,Balcao Virtual TJPB (r.jina.ai)
Aparecida,Comarca de Sousa,Comarca de Sousa,Termo,Balcao Virtual TJPB (r.jina.ai)
Arara,Comarca de Solânea,Comarca de Solânea,Termo,Balcao Virtual TJPB (r.jina.ai)
Araruna,Comarca de Araruna,Comarca de Araruna,Sede,Balcao Virtual TJPB (r.jina.ai)
Araçagi,Comarca de Guarabira,Comarca de Guarabira,Termo,Balcao Virtual TJPB (r.jina.ai)
Areia,Comarca de Areia,Comarca de Areia,Sede,Balcao Virtual TJPB (r.jina.ai)
Areia de Baraúnas,Comarca de Patos,Comarca de Patos,Termo,Balcao Virtual TJPB (r.jina.ai)
Areial,Comarca de Esperança,Comarca de Esperança,Termo,Balcao Virtual TJPB (r.jina.ai)
Aroeiras,Comarca de Umbuzeiro,Comarca de Umbuzeiro,Termo,Balcao Virtual TJPB (r.jina.ai)
Assunção,Comarca de Taperoá,Comarca de Taperoá,Termo,Balcao Virtual TJPB (r.jina.ai)
Bananeiras,Comarca de Bananeiras,Comarca de Bananeiras,Sede,Balcao Virtual TJPB (r.jina.ai)
Baraúna,Comarca de Picuí,Comarca de Picuí,Termo,Balcao Virtual TJPB (r.jina.ai)
Barra de Santa Rosa,Comarca de Cuité,Comarca de Cuité,Termo,Balcao Virtual TJPB (r.jina.ai)
Barra de Santana,Comarca de Boqueirão,Comarca de Boqueirão,Termo,Balcao Virtual TJPB (r.jina.ai)
Barra de São Miguel,Comarca de Boqueirão,Comarca de Boqueirão,Termo,Balcao Virtual TJPB (r.jina.ai)
Bayeux,Comarca Integrada de Bayeux e Santa Rita,Comarca Integrada de Bayeux e Santa Rita,Sede,Balcao Virtual TJPB (r.jina.ai)
Baía da Traição,Comarca de Rio Tinto,Comarca de Rio Tinto,Termo,Balcao Virtual TJPB (r.jina.ai)
Belém,Comarca de Belém,Comarca de Belém,Sede,Balcao Virtual TJPB (r.jina.ai)
Belém do Brejo do Cruz,Comarca de Catolé do Rocha,Comarca de Catolé do Rocha,Termo,Balcao Virtual TJPB (r.jina.ai)
Bernardino Batista,Comarca de São João do Rio do Peixe,Comarca de São João do Rio do Peixe,Termo,Balcao Virtual TJPB (r.jina.ai)
Boa Ventura,Comarca de Itaporanga,Comarca de Itaporanga,Termo,Balcao Virtual TJPB (r.jina.ai)
Boa Vista,Comarca de Campina Grande,Comarca de Campina Grande,Termo,Balcao Virtual TJPB (r.jina.ai)
Bom Jesus,Comarca de Cajazeiras,Comarca de Cajazeiras,Termo,Balcao Virtual TJPB (r.jina.ai)
Bom Sucesso,Comarca de Catolé do Rocha,Comarca de Catolé do Rocha,Termo,Balcao Virtual TJPB (r.jina.ai)
Bonito de Santa Fé,Comarca de São José de Piranhas,Comarca de São José de Piranhas,Termo,Balcao Virtual TJPB (r.jina.ai)
Boqueirão,Comarca de Boqueirão,Comarca de Boqueirão,Sede,Balcao Virtual TJPB (r.jina.ai)
Borborema,Comarca de Bananeiras,Comarca de Bananeiras,Termo,Balcao Virtual TJPB (r.jina.ai)
Brejo do Cruz,Comarca de Catolé do Rocha,Comarca de Catolé do Rocha,Termo,Balcao Virtual TJPB (r.jina.ai)
Brejo dos Santos,Comarca de Catolé do Rocha,Comarca de Catolé do Rocha,Termo,Balcao Virtual TJPB (r.jina.ai)
Caaporã,Comarca Integrada do Litoral Sul,Comarcas Integradas do Litoral Sul,Sede,Balcao Virtual TJPB (r.jina.ai)
Cabaceiras,Comarca de Boqueirão,Comarca de Boqueirão,Termo,Balcao Virtual TJPB (r.jina.ai)
Cabedelo,Comarca de Cabedelo,Comarca de Cabedelo,Sede,Balcao Virtual TJPB (r.jina.ai)
Cachoeira dos Índios,Comarca de Cajazeiras,Comarca de Cajazeiras,Termo,Balcao Virtual TJPB (r.jina.ai)
Cacimba de Areia,Comarca de Patos,Comarca de Patos,Termo,Balcao Virtual TJPB (r.jina.ai)
Cacimba de Dentro,Comarca de Araruna,Comarca de Araruna,Termo,Balcao Virtual TJPB (r.jina.ai)
Cacimbas,Comarca de Teixeira,Comarca de Teixeira,Termo,Balcao Virtual TJPB (r.jina.ai)
Caiçara,Comarca de Belém,Comarca de Belém,Termo,Balcao Virtual TJPB (r.jina.ai)
Cajazeiras,Comarca de Cajazeiras,Comarca de Cajazeiras,Sede,Balcao Virtual TJPB (r.jina.ai)
Cajazeirinhas,Comarca de Pombal,Comarca de Pombal,Termo,Balcao Virtual TJPB (r.jina.ai)
Caldas Brandão,Comarca de Gurinhém,Comarca de Gurinhém,Termo,Balcao Virtual TJPB (r.jina.ai) + ajustes LOJE/Resoluções
Camalaú,Comarca de Monteiro,Comarca de Monteiro,Termo,Balcao Virtual TJPB (r.jina.ai)
Campina Grande,Comarca de Campina Grande,Comarca de Campina Grande,Sede,Balcao Virtual TJPB (r.jina.ai)
Capim,Comarca de Mamanguape,Comarca de Mamanguape,Termo,Balcao Virtual TJPB (r.jina.ai)
Caraúbas,Comarca de Serra Branca,Comarca de Serra Branca,Termo,Balcao Virtual TJPB (r.jina.ai)
Carrapateira,Comarca de São José de Piranhas,Comarca de São José de Piranhas,Termo,Balcao Virtual TJPB (r.jina.ai)
Casserengue,Comarca de Solânea,Comarca de Solânea,Termo,Balcao Virtual TJPB (r.jina.ai)
Catingueira,Comarca de Piancó,Comarca de Piancó,Termo,Balcao Virtual TJPB (r.jina.ai)
Catolé do Rocha,Comarca de Catolé do Rocha,Comarca de Catolé do Rocha,Sede,Balcao Virtual TJPB (r.jina.ai)
Caturité,Comarca de Queimadas,Comarca de Queimadas,Termo,Balcao Virtual TJPB (r.jina.ai)
Conceição,Comarca de Conceição,Comarca de Conceição,Sede,Balcao Virtual TJPB (r.jina.ai)
Condado,Comarca de Patos,Comarca de Patos,Termo,Balcao Virtual TJPB (r.jina.ai)
Conde,Comarca Integrada do Litoral Sul,Comarcas Integradas do Litoral Sul,Sede,Balcao Virtual TJPB (r.jina.ai)
Congo,Comarca de Sumé,Comarca de Sumé,Termo,Balcao Virtual TJPB (r.jina.ai)
Coremas,Comarca de Coremas,Comarca de Coremas,Sede,Balcao Virtual TJPB (r.jina.ai)
Coxixola,Comarca de Serra Branca,Comarca de Serra Branca,Termo,Balcao Virtual TJPB (r.jina.ai)
Cruz do Espírito Santo,Comarca Integrada de Bayeux e Santa Rita,Comarca Integrada de Bayeux e Santa Rita,Termo,Balcao Virtual TJPB (r.jina.ai) + ajustes LOJE/Resoluções
Cubati,Comarca de Soledade,Comarca de Soledade,Termo,Balcao Virtual TJPB (r.jina.ai)
Cuitegi,Comarca de Guarabira,Comarca de Guarabira,Termo,Balcao Virtual TJPB (r.jina.ai)
Cuité,Comarca de Cuité,Comarca de Cuité,Sede,Balcao Virtual TJPB (r.jina.ai)
Cuité de Mamanguape,Comarca de Mamanguape,Comarca de Mamanguape,Termo,Balcao Virtual TJPB (r.jina.ai)
Curral Velho,Comarca de Itaporanga,Comarca de Itaporanga,Termo,Balcao Virtual TJPB (r.jina.ai)
Curral de Cima,Comarca de Jacaraú,Comarca de Jacaraú,Termo,Balcao Virtual TJPB (r.jina.ai)
Damião,Comarca de Cuité,Comarca de Cuité,Termo,Balcao Virtual TJPB (r.jina.ai)
Desterro,Comarca de Teixeira,Comarca de Teixeira,Termo,Balcao Virtual TJPB (r.jina.ai)
Diamante,Comarca de Itaporanga,Comarca de Itaporanga,Termo,Balcao Virtual TJPB (r.jina.ai)
Dona Inês,Comarca de Belém,Comarca de Belém,Termo,Balcao Virtual TJPB (r.jina.ai)
Duas Estradas,Comarca de Guarabira,Comarca de Guarabira,Termo,Balcao Virtual TJPB (r.jina.ai)
Emas,Comarca de Piancó,Comarca de Piancó,Termo,Balcao Virtual TJPB (r.jina.ai)
Esperança,Comarca de Esperança,Comarca de Esperança,Sede,Balcao Virtual TJPB (r.jina.ai)
Fagundes,Comarca de Queimadas,Comarca de Queimadas,Termo,Balcao Virtual TJPB (r.jina.ai)
Frei Martinho,Comarca de Picuí,Comarca de Picuí,Termo,Balcao Virtual TJPB (r.jina.ai)
Gado Bravo,Comarca de Umbuzeiro,Comarca de Umbuzeiro,Termo,Balcao Virtual TJPB (r.jina.ai)
Guarabira,Comarca de Guarabira,Comarca de Guarabira,Sede,Balcao Virtual TJPB (r.jina.ai)
Gurinhém,Comarca de Gurinhém,Comarca de Gurinhém,Sede,Balcao Virtual TJPB (r.jina.ai)
Gurjão,Comarca de Serra Branca,Comarca de Serra Branca,Termo,Balcao Virtual TJPB (r.jina.ai)
Ibiara,Comarca de Conceição,Comarca de Conceição,Termo,Balcao Virtual TJPB (r.jina.ai)
Igaracy,Comarca de Piancó,Comarca de Piancó,Termo,Balcao Virtual TJPB (r.jina.ai)
Imaculada,Comarca de Água Branca,Comarca de Água Branca,Termo,Balcao Virtual TJPB (r.jina.ai)
Ingá,Comarca de Ingá,Comarca de Ingá,Sede,Balcao Virtual TJPB (r.jina.ai)
Itabaiana,Comarca de Itabaiana,Comarca de Itabaiana,Sede,Balcao Virtual TJPB (r.jina.ai)
Itaporanga,Comarca de Itaporanga,Comarca de Itaporanga,Sede,Balcao Virtual TJPB (r.jina.ai)
Itapororoca,Comarca de Mamanguape,Comarca de Mamanguape,Termo,Balcao Virtual TJPB (r.jina.ai)
Itatuba,Comarca de Ingá,Comarca de Ingá,Termo,Balcao Virtual TJPB (r.jina.ai)
Jacaraú,Comarca de Jacaraú,Comarca de Jacaraú,Sede,Balcao Virtual TJPB (r.jina.ai)
Jericó,Comarca de Catolé do Rocha,Comarca de Catolé do Rocha,Termo,Balcao Virtual TJPB (r.jina.ai)
Joca Claudino,Comarca de Sousa,Comarca de Sousa,Termo,Balcao Virtual TJPB (r.jina.ai)
João Pessoa,Comarca de João Pessoa,Comarca de João Pessoa,Sede,Balcao Virtual TJPB (r.jina.ai)
