municipio_norm,municipio,comarca_mapa
AGUA BRANCA,Água Branca,Princesa Isabel
AGUIAR,Aguiar,Piancó
ALAGOA GRANDE,Alagoa Grande,Alagoa Grande
ALAGOA NOVA,Alagoa Nova,Alagoa Nova
ALAGOINHA,Alagoinha,Alagoinha
ALCANTIL,Alcantil,Boqueirão
ALGODAO DE JANDAIRA,Algodão de Jandaíra,Remígio
ALHANDRA,Alhandra,Alhandra
AMPARO,Amparo,Sumé
APARECIDA,Aparecida,Sousa
ARACAGI,Araçagi,Guarabira
ARARA,Arara,Solânea
ARARUNA,Araruna,Araruna
AREIA,Areia,Areia
AREIA DE BARAUNAS,Areia de Baraúnas,Patos
AREIAL,Areial,Esperança
AROEIRAS,Aroeiras,Umbuzeiro
ASSUNCAO,Assunção,Taperoá
BAIA DA TRAICAO,Baía da Traição,Rio Tinto
BANANEIRAS,Bananeiras,Bananeiras
BARAUNA,Baraúna,Picuí
BARRA DE SANTA ROSA,Barra de Santa Rosa,Cuité
BARRA DE SANTANA,Barra de Santana,Boqueirão
BARRA DE SAO MIGUEL,Barra de São Miguel,Boqueirão
BAYEUX,Bayeux,Santa Rita
BELEM,Belém,Belém
BELEM DO BREJO DO CRUZ,Belém do Brejo do Cruz,Catolé do Rocha
BERNARDINO BATISTA,Bernardino Batista,São João do Rio do Peixe
BOA VENTURA,Boa Ventura,Itaporanga
BOA VISTA,Boa Vista,Campina Grande
BOM JESUS,Bom Jesus,Cajazeiras
BOM SUCESSO,Bom Sucesso,Catolé do Rocha
BONITO DE SANTA FE,Bonito de Santa Fé,São José de Piranhas
BOQUEIRAO,Boqueirão,Boqueirão
BORBOREMA,Borborema,Bananeiras
BREJO DO CRUZ,Brejo do Cruz,Catolé do Rocha
BREJO DOS SANTOS,Brejo dos Santos,Catolé do Rocha
CAAPORA,Caaporã,Alhandra
CABACEIRAS,Cabaceiras,Boqueirão
CABEDELO,Cabedelo,Cabedelo
CACHOEIRA DOS INDIOS,Cachoeira dos Índios,Cajazeiras
CACIMBA DE AREIA,Cacimba de Areia,Patos
CACIMBA DE DENTRO,Cacimba de Dentro,Araruna
CACIMBAS,Cacimbas,Teixeira
CAICARA,Caiçara,Belém
CAJAZEIRAS,Cajazeiras,Cajazeiras
CAJAZEIRINHAS,Cajazeirinhas,Pombal
CALDAS BRANDAO,Caldas Brandão,Gurinhém
CAMALAU,Camalaú,Monteiro
CAMPINA GRANDE,Campina Grande,Campina Grande
CAPIM,Capim,Mamanguape
CARAUBAS,Caraúbas,Serra Branca
CARRAPATEIRA,Carrapateira,São José de Piranhas
CASSERENGUE,Casserengue,Solânea
CATINGUEIRA,Catingueira,Piancó
CATOLE DO ROCHA,Catolé do Rocha,Catolé do Rocha
CATURITE,Caturité,Queimadas
CONCEICAO,Conceição,Conceição
CONDADO,Condado,Patos
CONDE,Conde,Alhandra
CONGO,Congo,Sumé
COREMAS,Coremas,Coremas
